[2025-08-08 11:01:31] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:32] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:33] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:34] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:35] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:38] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:39] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:40] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:41] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:42] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:43] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:44] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:45] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:46] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:47] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:48] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:49] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:50] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:51] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:52] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:53] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:54] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:55] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:56] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:57] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:58] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:59] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:00] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:01] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:02] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:03] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:04] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:05] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:06] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:07] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:10] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:11] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:12] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:13] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:14] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:15] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:16] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:17] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:18] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:19] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:20] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:21] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:22] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:02:23] From ('192.168.1.110', 47848): Hello, UDP Server!
