[  193.200104] BUG: scheduling while atomic: python3/493/0x00000000
[  193.427718] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.431523] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.440469] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.444268] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.447773] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.454762] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.460062] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.462036] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.473878] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.476539] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.479646] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.484264] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.492139] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.495346] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.499439] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.503518] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.506865] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
