2025-10-28 14:12:43, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 10, Flipped 2433745923, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  200.269747]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-28 14:16:07, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 11, Flipped 2433746947, [+] System running normally
2025-10-28 14:16:09, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 12, Flipped 2433748995, [+] System running normally
2025-10-28 14:16:11, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 13, Flipped 2433753091, [+] System running normally
2025-10-28 14:16:13, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 14, Flipped 2433761283, [+] System running normally
2025-10-28 14:16:15, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 15, Flipped 2433777667, [+] System running normally
2025-10-28 14:16:17, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 16, Flipped 2433810435, [+] System running normally
2025-10-28 14:16:19, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 17, Flipped 2433875971, [+] System running normally
2025-10-28 14:16:21, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 18, Flipped 2434007043, [+] System running normally
2025-10-28 14:16:23, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 19, Flipped 2434269187, [+] System running normally
2025-10-28 14:16:25, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 20, Flipped 2432696323, [+] System running normally
2025-10-28 14:16:27, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 21, Flipped 2435842051, [+] System running normally
2025-10-28 14:16:31, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 22, Flipped 2437939203, [+] System running normally
2025-10-28 14:16:33, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 23, Flipped 2442133507, [+] System running normally
2025-10-28 14:16:36, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 24, Flipped 2416967683, [+] System running normally
2025-10-28 14:16:38, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 25, Flipped 2467299331, [+] System running normally
2025-10-28 14:16:40, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 26, Flipped 2500853763, [+] System running normally
2025-10-28 14:16:42, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 27, Flipped 2567962627, [+] System running normally
2025-10-28 14:16:44, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 28, Flipped 2165309443, [+] System running normally
