[2025-09-29 14:22:32] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:33] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:34] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:35] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:36] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:37] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:38] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:39] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:40] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:41] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:42] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:43] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:44] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:45] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:46] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:47] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:48] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:49] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:50] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:51] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:52] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:53] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:54] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:55] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:56] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:57] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:58] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:59] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:00] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:01] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:02] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:03] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:04] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:05] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:06] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:07] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:08] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:09] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:10] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:11] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:12] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:13] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:14] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:15] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:16] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:17] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:18] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:19] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:20] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:21] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:22] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:23] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:24] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:25] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:26] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:27] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:28] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:29] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:32] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:23:33] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:26:00] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:01] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:02] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:03] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:04] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:05] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:06] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:07] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:08] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:09] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:10] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:11] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:12] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:13] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:14] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:15] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:16] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:17] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:18] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:19] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:20] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:21] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:22] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:23] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:24] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:25] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:26] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:27] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:28] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:29] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:30] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:31] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:32] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:33] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:34] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:35] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:36] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:37] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:38] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:39] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:40] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:42] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:43] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:44] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:45] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:46] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:47] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:48] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:49] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:50] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:51] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:52] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:53] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:54] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:55] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:58] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:26:59] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:00] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:01] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:02] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:03] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:04] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:05] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:08] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:09] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:12] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:13] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:14] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:15] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:16] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:17] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:18] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:19] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:20] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:21] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:22] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:23] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:24] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:27:25] From ('192.168.1.110', 43117): Hello, UDP Server!
[2025-09-29 14:29:49] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:50] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:51] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:52] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:53] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:54] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:55] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:56] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:57] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:58] From ('192.168.1.110', 44834): Hello, UDP Server!
[2025-09-29 14:29:59] From ('192.168.1.110', 44834): Hello, UDP Server!
